"Date","Price","Open","High","Low","Vol.","Change %"
"11-12-2016","86.50","86.50","86.50","86.50","0.13K","2.55%"
"04-12-2016","84.35","84.35","84.35","84.35","0.08K","-3.49%"
"27-11-2016","87.40","87.40","87.40","87.40","0.51K","-15.76%"
"20-11-2016","103.75","103.75","103.75","103.75","0.30K","-1.28%"
"13-11-2016","105.10","105.10","105.10","105.10","0.05K","-4.32%"
"06-11-2016","109.85","110.00","110.00","110.00","0.20K","1.10%"
"30-10-2016","108.65","115.00","115.00","108.00","0.72K","15.65%"
"23-10-2016","93.95","93.95","93.95","93.95","0.30K","1.24%"
"16-10-2016","92.80","92.80","92.80","92.80","0.03K","3.75%"
"09-10-2016","89.45","89.45","89.45","89.45","0.15K","5.92%"
"02-10-2016","84.45","84.45","84.45","84.45","0.15K","16.97%"
"25-09-2016","72.20","72.20","72.20","72.20","0.05K","0.35%"
"18-09-2016","71.95","71.95","71.95","71.95","0.05K","1.12%"
"11-09-2016","71.15","71.15","71.15","71.15","0.12K","2.08%"
"04-09-2016","69.70","69.70","69.70","69.70","0.12K","0.80%"
"28-08-2016","69.15","69.00","69.00","69.00","0.14K","2.98%"
"21-08-2016","67.15","67.15","67.15","67.15","0.19K","-0.59%"
"14-08-2016","67.55","67.55","67.55","67.55","0.02K","-1.10%"
"07-08-2016","68.30","68.30","68.30","68.30","0.03K","5.08%"
"31-07-2016","65.00","65.00","65.00","65.00","0.17K","6.30%"
"24-07-2016","61.15","61.15","61.15","61.15","0.19K","0.49%"
"17-07-2016","60.85","60.85","60.85","60.85","0.02K","-0.73%"
"10-07-2016","61.30","61.30","61.30","61.30","0.07K","3.46%"
"03-07-2016","59.25","59.25","59.25","59.25","0.06K","1.89%"
"26-06-2016","58.15","58.15","58.15","58.15","0.27K","9.92%"
"19-06-2016","52.90","52.90","52.90","52.90","0.34K","0.67%"
"12-06-2016","52.55","52.55","52.55","52.55","0.01K","-0.85%"
"05-06-2016","53.00","53.00","53.00","53.00","0.39K","-1.85%"
"29-05-2016","54.00","54.00","54.00","54.00","0.16K","5.16%"
"22-05-2016","51.35","51.35","51.35","51.35","0.07K","0.79%"
"15-05-2016","50.95","50.95","50.95","50.95","0.02K","0.79%"
"08-05-2016","50.55","50.55","50.55","50.55","0.18K","-0.20%"
"01-05-2016","50.65","50.65","50.65","50.65","0.15K","-0.20%"
"24-04-2016","50.75","50.75","50.75","50.75","0.36K","-0.49%"
"17-04-2016","51.00","51.00","51.00","51.00","0.01K","0.29%"
"10-04-2016","50.85","50.85","50.85","50.85","0.01K","2.01%"
"03-04-2016","49.85","49.85","49.85","49.85","0.09K","-1.29%"
"27-03-2016","50.50","50.50","50.50","50.50","0.09K","-3.44%"
"20-03-2016","52.30","52.30","52.30","52.30","0.01K","0.19%"
"13-03-2016","52.20","52.20","52.20","52.20","0.07K","1.36%"
"06-03-2016","51.50","51.50","51.50","51.50","0.31K","0.98%"
"28-02-2016","51.00","51.00","51.00","51.00","0.45K","1.09%"
